window_start,A-2,A-3,B-1,B-3,C-1,C-3
2016-07-19 00:00:00,0,0,0,70.8500,0,0
2016-07-19 00:20:00,58.0500,0,79.7600,148.7900,0,0
2016-07-19 00:40:00,0,0,137.9800,0,0,113.5400
2016-07-19 01:20:00,56.8700,94.5700,176.7000,0,214.8700,0
2016-07-19 01:40:00,77.7400,0,0,93.7200,160.6350,0
2016-07-19 02:00:00,0,0,0,67.8100,0,0
2016-07-19 02:20:00,42.6400,77.6100,0,0,0,0
2016-07-19 02:40:00,40.1733,0,0,167.5450,0,0
2016-07-19 03:00:00,0,93.0900,0,0,0,0
2016-07-19 03:20:00,41.9200,0,0,0,0,0
2016-07-19 03:40:00,39.4300,0,0,98.4900,0,0
2016-07-19 04:00:00,48.1300,0,0,96.6700,0,0
2016-07-19 04:20:00,62.1067,0,94.0600,53.1500,0,0
2016-07-19 04:40:00,46.1150,91.6100,0,55.2450,187.3000,0
2016-07-19 05:00:00,49.5560,0,0,209.6600,0,0
2016-07-19 05:20:00,54.8400,168.3600,66.9800,0,0,0
2016-07-19 05:40:00,58.0843,0,87.8300,0,0,0
2016-07-19 06:00:00,46.3560,124.6600,170.0900,145.9400,160.3800,0
2016-07-19 06:20:00,48.5880,89.8460,0,127.3500,0,161.7400
2016-07-19 06:40:00,66.6425,180.0160,0,97.2000,134.5600,223.8100
2016-07-19 07:00:00,64.6810,101.3950,65.4100,118.4280,0,135.9200
2016-07-19 07:20:00,85.6760,124.2880,0,82.6300,0,236.1200
2016-07-19 07:40:00,58.9689,155.4950,0,110.5000,180.1100,0
2016-07-19 08:00:00,81.6029,137.3750,0,125.7600,151.3867,120.7300
2016-07-19 08:20:00,80.2079,165.4829,128.7500,141.3340,129.1000,143.3700
2016-07-19 08:40:00,63.4485,136.6800,71.8933,176.0771,0,0
2016-07-19 09:00:00,78.0512,192.6800,177.1067,165.2900,200.8667,0
2016-07-19 09:20:00,69.0383,159.7800,104.3300,127.3825,164.5200,0
2016-07-19 09:40:00,69.6571,129.2750,0,117.8275,0,139.7000
2016-07-19 10:00:00,78.3115,99.0375,132.6767,98.9217,200.9167,139.7000
2016-07-19 10:20:00,59.4118,129.3000,170.5950,112.9983,203.8760,114.2500
2016-07-19 10:40:00,75.4889,121.1029,79.5700,98.1500,301.2800,0
2016-07-19 11:00:00,72.4350,104.7860,54.4600,95.9833,42.9500,0
