window_start,1-0,1-1,2-0,3-0,3-1
2016-09-19 00:00:00,13,140,2,17,181
2016-09-19 00:20:00,6,56,0,16,112
2016-09-19 00:40:00,9,31,0,16,93
2016-09-19 01:00:00,10,4,1,17,4
2016-09-19 01:20:00,14,14,0,17,5
2016-09-19 01:40:00,10,7,2,11,4
2016-09-19 02:00:00,7,7,0,11,5
2016-09-19 02:20:00,10,7,0,14,4
2016-09-19 02:40:00,6,10,0,18,0
2016-09-19 03:00:00,9,10,0,10,5
2016-09-19 03:20:00,4,14,0,10,3
2016-09-19 03:40:00,9,20,0,9,10
2016-09-19 04:00:00,10,18,0,11,4
2016-09-19 04:20:00,13,17,0,8,7
2016-09-19 04:40:00,12,23,0,10,3
2016-09-19 05:00:00,2,28,14,9,11
2016-09-19 05:20:00,8,24,12,14,7
2016-09-19 05:40:00,13,34,21,27,13
2016-09-19 06:00:00,8,39,30,39,30
2016-09-19 06:20:00,13,57,36,58,38
2016-09-19 06:40:00,32,72,37,71,65
2016-09-19 07:00:00,39,70,84,127,67
2016-09-19 07:20:00,31,83,80,123,71
2016-09-19 07:40:00,43,118,97,153,103
2016-09-19 08:00:00,46,123,129,161,118
2016-09-19 08:20:00,56,119,122,167,168
2016-09-19 08:40:00,41,116,98,138,161
2016-09-19 09:00:00,50,120,89,174,145
2016-09-19 09:20:00,49,151,78,144,125
2016-09-19 09:40:00,44,131,59,148,116
2016-09-19 10:00:00,44,101,71,104,117
2016-09-19 10:20:00,44,105,88,111,87
2016-09-19 10:40:00,44,102,65,122,85
2016-09-19 11:00:00,39,86,50,111,73
2016-09-19 11:20:00,30,76,61,82,72
2016-09-19 11:40:00,34,100,46,91,73
2016-09-19 12:00:00,45,99,87,104,94
2016-09-19 12:20:00,44,70,66,91,86
2016-09-19 12:40:00,53,79,69,122,94
2016-09-19 13:00:00,57,100,81,117,91
2016-09-19 13:20:00,61,108,95,107,110
2016-09-19 13:40:00,53,106,67,131,100
2016-09-19 14:00:00,55,101,66,100,95
2016-09-19 14:20:00,52,100,62,84,99
2016-09-19 14:40:00,52,101,79,107,93
2016-09-19 15:00:00,48,77,77,117,75
2016-09-19 15:20:00,57,104,67,109,95
2016-09-19 15:40:00,43,92,74,115,83
2016-09-19 16:00:00,42,110,76,123,101
2016-09-19 16:20:00,46,122,86,111,90
2016-09-19 16:40:00,55,116,99,116,115
2016-09-19 17:00:00,36,96,85,110,86
2016-09-19 17:20:00,34,116,72,118,85
2016-09-19 17:40:00,24,112,53,95,91
2016-09-19 18:00:00,29,67,55,94,73
2016-09-19 18:20:00,27,94,50,56,78
2016-09-19 18:40:00,18,65,49,61,77
2016-09-19 19:00:00,13,62,44,51,44
2016-09-19 19:20:00,22,44,49,61,45
2016-09-19 19:40:00,27,41,41,50,46
2016-09-19 20:00:00,17,48,56,55,32
2016-09-19 20:20:00,16,34,21,29,40
2016-09-19 20:40:00,17,39,35,41,42
2016-09-19 21:00:00,17,24,29,32,30
2016-09-19 21:20:00,22,35,20,34,37
2016-09-19 21:40:00,5,30,24,30,33
